Indus ID,SITE Name,TCU,MCU,Total Nos. GSM,Total Nos.M/w
IN-1282177,Kharab khandgaon,No,No,10,1
IN-1092995,BRAMHANPURI,No,No,9,9
IN-1092319,MOD,No,No,13,8
IN-1284107,Relocation of Gujar Bhavali_USO ,No,No,13,4
IN-1092311,Sukadi,No,No,8,4
IN-1299595,Site1394_Bramhantola,No,No,13,7
IN-1253685,Mandesar ,No,No,9,3
IN-1297439,Goregaon Rel,No,No,7,3
IN-1284787,Near Aaditya Agro Industries,No,No,11,4
IN-1315222,Relocation NEW SUBEDHAR,No,No,16,3
IN-1093081,MR. ANANDRAO SUBEDAR PLOT ( TIWASA),No,No,13,8
IN-1268581,Rohan Nilay,No,No,17,3
IN-1054053,AGARWALBLD_ODU,No,No,9,4
IN-1025257,KACHEHRI ROAD,No,No,15,8
IN-1284155,Relocation of Pratappur_USO ,No,No,12,3
IN-1085597,Gadital,No,No,14,7
IN-1349637,DISTRIBUTERLONI KALBHOR,No,No,8,1
IN-1259025,Shubham Apt,No,No,15,4
IN-1113736,DASERA NAGAR,No,No,12,3
IN-1055001,LAXMICOMPLEX_IDU,No,No,13,1
IN-1055193,TARAPIMPRI_IDU,No,No,9,5
IN-1124786,ESLPBAKLECMPLX,Yes,Yes,6,0
IN-1299858,HERITAGE APARTMENT,No,No,3,1
IN-1054709,ASHWININGR_ODU,No,No,10,1
IN-1344828,SHRAMIK NAGAR,No,No,10,1
IN-1070092,ANTARAWALI TEMBHI,No,No,22,9
IN-1054986,KOHINOOR_ODU,No,Yes,6,12
IN-1055164,SHREEAPT_IDU,No,No,16,5
IN-1236246,GOKHALE-NAGAR,No,No,9,7
IN-1239058,Bhilar,No,No,18,8
IN-1253831,GADEWADI,No,No,13,3
IN-1284172,NANDRE,No,No,9,1
IN-1283503,Kalamba,No,No,15,6
IN-1071239,DHANORABK_ODF,No,No,16,10
IN-1054164,SHWETA HEIGHTS_ODU,No,Yes,7,8
IN-1278475,Daund-Pansrewasti,No,No,15,4
IN-1243692,Badur,No,No,16,5
IN-1078190,Karanje (Mulacha Odha),No,Yes,9,11
IN-1092291,PADALI RPT-GNDE01MUDE01,No,No,3,3
IN-1055122,SAMIRAPT_ODU,No,No,5,2
IN-1085575,Pragti Calony,Yes,Yes,10,7
IN-1126938,Wagholigaon2,No,No,9,6
IN-1054782,VIDYANGR_ODU,No,No,13,4
IN-1309042,Ayog nagar,No,No,9,3
IN-1055085,PONAMPLAZA_ODU,No,No,10,16
IN-1093003,BHALER,No ,No,3,5
IN-1255368,SHELTI,No ,No,3,3
IN-1301354,Janugade wadi,No,No,3,2
IN-1260250,CHINCHOLI KARFARMA,No,No,6,3
IN-1095145,KARTI BK.,No,No,14,4
IN-1112546,MOHDURA,No ,No,6,7
IN-1024349,Titwala,No,No,20,14
IN-1329290,Relocation of Market Yard (PU1391),No,No,4,1
IN-1275335,DIPLOMA WING,No,No,12,6
IN-1297836,PANHALA,No,No,3,1
IN-1025148,RUKMININAGAR,No,No,13,5
IN-1371807,Sharda Vihar,No,No,6,1
IN-1097394,BHAWAD,No ,No,13,8
IN-1303902,Site1582 JAWAHAR WARD,No ,No,6,3
IN-1092991,BAPERA(SIHORA),No,No,9,4
IN-1299617,Site1402 Jamkhari,No,No,9,1
IN-1092367,Kumbhartoli-Amgaon,No,No,3,3
IN-1238955,WADSHINGI ,No,No,11,5
IN-1271663,Wadgaon Mahure,No,No,12,8
IN-1086256,SINGLUK_ODMU,Yes,No,9,4
IN-1125280,LONI BK.,No,No,12,8
IN-1112603,CHINCHWAR,No,No,10,2
IN-1813878,NA,No,No,3,1
IN-1274235,Boriwade,No,No,9,2
IN-1110889,Lakh,No,No,16,8
